id,treatment,day,description
T01,Osmia pollen (control),1,"day 1, treatment 1"
T02,Osmia pollen with high antibiotics,1,"day 1, treatment 2"
T03,Honeybee pollen,1,"day 1, treatment 3"
T04,Honeybee pollen with Osmia microbe wash,1,"day 1, treatment 4"
T05,Sterilized Osmia pollen,1,"day 1, treatment 5"
T06,Sterilized Osmia pollen with high antibiotics,1,"day 1, treatment 6"
T07,Sterilized Osmia pollen with Osmia microbe wash,1,"day 1, treatment 7"
T08,Sterilized honeybee pollen,1,"day 1, treatment 8"
T09,Sterilized honeybee pollen with Osmia microbe wash,1,"day 1, treatment 9"
T10,microbial wash,1,"day 1, treatment m"
T11,Osmia pollen (control),2,"day 2, treatment 1"
T12,Osmia pollen with high antibiotics,2,"day 2, treatment 2"
T13,Honeybee pollen,2,"day 2, treatment 3"
T14,Honeybee pollen with Osmia microbe wash,2,"day 2, treatment 4"
T15,Sterilized Osmia pollen,2,"day 2, treatment 5"
T16,Sterilized Osmia pollen with high antibiotics,2,"day 2, treatment 6"
T17,Sterilized Osmia pollen with Osmia microbe wash,2,"day 2, treatment 7"
T18,Sterilized honeybee pollen,2,"day 2, treatment 8"
T19,Sterilized honeybee pollen with Osmia microbe wash,2,"day 2, treatment 9"
T20,microbial wash,2,"day 2, treatment m"
T21,Osmia pollen (control),3,"day 3, treatment 1"
T22,Osmia pollen with high antibiotics,3,"day 3, treatment 2"
T23,Honeybee pollen,3,"day 3, treatment 3"
T24,Honeybee pollen with Osmia microbe wash,3,"day 3, treatment 4"
T25,Sterilized Osmia pollen,3,"day 3, treatment 5"
T26,Sterilized Osmia pollen with high antibiotics,3,"day 3, treatment 6"
T27,Sterilized Osmia pollen with Osmia microbe wash,3,"day 3, treatment 7"
T28,Sterilized honeybee pollen,3,"day 3, treatment 8"
T29,Sterilized honeybee pollen with Osmia microbe wash,3,"day 3, treatment 9"
T30,microbial wash,3,"day 3, treatment m"